Titulo,Subtitulo,Link
"Brigadeirão da morte: como age a morfina, achada no corpo da vítima","Júlia foi para casa de outro namorado após morte de LuizHá 6 horasBrigadeirão tinha comprimidos moídos, indica investigaçãoHá 6 horas",https://g1.globo.com/saude/noticia/2024/06/06/brigadeirao-com-morfina-e-clonazepam-como-agem-as-substancias-encontradas-no-empresario-morto-no-rio.ghtml
'Cigana' presa cobrava até R$ 18 mil por 'amarração definitiva',"Suspeita de ser mandante também teria tentado internar ex à forçaHá 2 horas'Oi, Chocolate!': presa por matar namorado ganha apelido na cadeiaHá 2 horas",https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/06/06/cigana-esmeralda-suyany-presa.ghtml
Lula anuncia 2 parcelas de salário mínimo para 430 mil no RS,,https://g1.globo.com/politica/noticia/2024/06/06/chuvas-no-rs-governo-faz-novos-anuncios-para-municipios-afetados.ghtml
ANA FLOR: governo contrata sua próxima derrota no Congresso,,https://g1.globo.com/economia/blog/ana-flor/post/2024/06/06/com-medida-provisoria-que-mexe-na-deducao-do-piscofins-governo-ja-contratou-sua-proxima-derrota-no-congresso.ghtml
Nikolas Ferreira comete novo ato de transfobia contra Erika Hilton,"Bate-boca, agressão: as tretas entre Janones e NikolasHá 60 minutos",https://g1.globo.com/politica/noticia/2024/06/06/nikolas-ferreira-comete-novo-ato-de-transfobia-contra-erika-hilton-apos-deputada-ofender-outra-parlamentar.ghtml
Quem é a 1ª mulher do mundo a acumular meio trilhão de reais,,https://g1.globo.com/economia/noticia/2024/06/06/francoise-bettencourt-quem-e-a-primeira-mulher-do-mundo-a-acumular-uma-fortuna-de-meio-trilhao-de-reais.ghtml
Calculadora: quanto vou pagar com taxação de compras internacionais?,Texto também cria desconto de US$ 20 em compras até US$ 3 milHá 5 horas,https://g1.globo.com/economia/noticia/2024/06/06/compras-internacionais-de-us-50-calculadora-do-g1-mostra-como-ficam-os-precos.ghtml
"Rival de Shopee e AliExpress, gigante Temu inicia vendas no Brasil",Dona do Burger King compra operação da Starbucks no BrasilHá 2 horasAzul vai aceitar saque-aniversário do FGTS como pagamentoHá 2 horas,https://g1.globo.com/economia/negocios/noticia/2024/06/06/temu-inicia-vendas-no-brasil.ghtml
